division,metrics,fold_0,fold_1,fold_2,fold_3,fold_4
train,acc,0.7458333333333333,0.7013888888888888,0.7708333333333334,0.7416666666666667,0.7569444444444444
train,f1,0.836461126005362,0.8244897959183674,0.8465116279069769,0.8183593750000001,0.8444444444444444
train,pre,0.7585089141004863,0.7013888888888888,0.801056338028169,0.8199608610567515,0.7661290322580645
train,rec,0.9322709163346613,1.0,0.8974358974358975,0.8167641325536062,0.9405940594059405
train,mcc,0.3264694446311886,0.0,0.4103633549515682,0.3712583791606144,0.35223870760564463
repair,acc,0.7444444444444445,0.7111111111111111,0.7388888888888889,0.6166666666666667,0.7166666666666667
repair,f1,0.8424657534246575,0.8311688311688311,0.8239700374531835,0.708860759493671,0.8197879858657243
repair,pre,0.7639751552795031,0.7111111111111111,0.7801418439716312,0.717948717948718,0.7483870967741936
repair,rec,0.9389312977099237,1.0,0.873015873015873,0.7,0.90625
repair,mcc,0.23672932613624015,0.0,0.3325270168831334,0.14824986333222023,0.20478155158843717
test,acc,0.68,0.67,0.69,0.73,0.67
test,f1,0.7974683544303798,0.8023952095808384,0.7919463087248323,0.8029197080291971,0.7870967741935485
test,pre,0.6923076923076923,0.67,0.7195121951219512,0.7857142857142857,0.6931818181818182
test,rec,0.9402985074626866,1.0,0.8805970149253731,0.8208955223880597,0.9104477611940298
test,mcc,0.150855002278531,0.0,0.2247441952821278,0.3759075082241516,0.13350693849893747
