division,fold,diff_acc,diff_fairness
train,0,-0.004687499999999956,-0.0038140995078720374
repair,0,0.018750000000000044,0.0036705284379422443
test,0,0.010000000000000009,0.0005577857233583783
train,1,-0.012500000000000067,0.008904802147299051
repair,1,0.08125000000000004,0.006530550122261045
test,1,-0.0050000000000000044,0.004757822006940839
train,2,-0.03281250000000002,0.0033556141657754765
repair,2,0.03125,0.005744457431137558
test,2,0.0,0.002656930088996888
train,3,-0.04062499999999991,0.004050940275192261
repair,3,0.043749999999999956,0.01115999966859818
test,3,-0.010000000000000009,0.010240540057420741
train,4,-0.010937499999999933,0.009588361636269832
repair,4,0.006249999999999978,0.011002419423311947
test,4,0.0050000000000000044,0.014295468330383296
