division,fold,diff_acc,diff_fairness
train,0,-0.020312499999999956,0.017910975217819217
repair,0,-0.03125,0.021190322376787654
test,0,0.0050000000000000044,0.01812057644128799
train,1,-0.012499999999999956,-0.00036106514744460583
repair,1,0.006249999999999978,-0.0002202071249484995
test,1,0.010000000000000009,-1.3075768947601318e-06
train,2,-0.01718749999999991,0.012741767638362947
repair,2,0.012499999999999956,0.013159884884953503
test,2,0.0,0.013495681732892992
train,3,-0.020312499999999956,0.007297195494174957
repair,3,0.006249999999999978,0.010971620678901672
test,3,0.02499999999999991,0.007219231128692619
train,4,-0.02187500000000009,0.002958709909580649
repair,4,0.012499999999999956,0.004228503070771696
test,4,-0.010000000000000009,0.004043408483266831
