division,metrics,fold_0,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9
train,acc,0.9654518643353697,0.9580787866020645,0.9653816445474335,0.9622568639842708,0.9629239519696651,0.96264307281792,0.9518292254757391,0.9507776568479444,0.9532001544781098,0.9489168977986869
train,f1,0.8530465949820788,0.8114339861023373,0.8485407066052227,0.8302542239065214,0.8257425742574257,0.8414307004470939,0.769489247311828,0.7646861362873447,0.8102491103202848,0.7337602927721868
train,pre,0.8548338820712361,0.8617913451861792,0.8796178343949045,0.8772105438772105,0.9198529411764705,0.8421837708830548,0.887253002712127,0.8870716510903427,0.7784463894967177,0.9430856067732831
train,rec,0.8512667660208644,0.7666368248284094,0.8195845697329377,0.7880695443645084,0.7491017964071857,0.8406789755807028,0.6793236428359537,0.671976401179941,0.8447610566933809,0.6004791853848458
train,mcc,0.8334739537710265,0.7896493841606795,0.8296858052187855,0.8105608302677769,0.8105569331361459,0.8202586969969589,0.75138637437028,0.7466599278057449,0.7844602645635396,0.7291203942417104
repair,acc,0.8748815165876778,0.8830963665086888,0.8868878357030016,0.8799368088467614,0.8824644549763033,0.8808846761453396,0.879304897314376,0.895385587863464,0.8805309734513275,0.8922250316055625
repair,f1,0.481675392670157,0.47592067988668557,0.48857142857142855,0.4919786096256684,0.46551724137931033,0.49933598937583,0.3974763406940063,0.4322469982847342,0.5078125,0.462992125984252
repair,pre,0.4742268041237113,0.5153374233128835,0.504424778761062,0.5212464589235127,0.5311475409836065,0.49473684210526314,0.45985401459854014,0.5206611570247934,0.4802955665024631,0.6049382716049383
repair,rec,0.48936170212765956,0.4421052631578947,0.47368421052631576,0.46582278481012657,0.4143222506393862,0.5040214477211796,0.35,0.36950146627565983,0.5386740331491713,0.375
repair,mcc,0.4106146180336972,0.41209175346145344,0.42531967157341405,0.4250076532790093,0.4045224237807655,0.4317675867081978,0.3355995248455703,0.3831790700365363,0.44101844301199844,0.4211331315559535
test,acc,0.8873488646416986,0.8937629017988794,0.8940578000589796,0.8961220878796815,0.8954585667944559,0.8925833087584784,0.8973754054851076,0.8975228546151578,0.8897080507225007,0.904452963727514
test,f1,0.5086816720257235,0.5042999656002752,0.5192372030779525,0.5095718760877131,0.4928469241773963,0.5274083684722672,0.48098434004474266,0.49783236994219654,0.529559748427673,0.49136577708006274
test,pre,0.5096649484536082,0.5433654558932542,0.5422781271837875,0.5566539923954372,0.5565428109854604,0.5331147540983606,0.5738434163701067,0.5694214876033058,0.5191122071516646,0.6323232323232323
test,rec,0.5077021822849808,0.4704749679075738,0.4980744544287548,0.46983311938382544,0.44223363286264444,0.5218228498074454,0.413992297817715,0.44223363286264444,0.540436456996149,0.4017971758664955
test,mcc,0.445064043689597,0.44659881756727243,0.4603526224636995,0.4539776019095523,0.438997249693104,0.4668555253433402,0.4326852860570428,0.44615284323006427,0.46724115673156014,0.45536834842585816
