division,fold,diff_acc,diff_fairness
train,0,-0.043749999999999956,-0.004167522303760052
repair,0,0.006249999999999978,-0.0044739049859345015
test,0,0.0050000000000000044,0.0009786359965801156
train,1,-0.0015624999999999112,0.0010009839897975326
repair,1,0.08750000000000002,-0.0006523281335830688
test,1,0.025000000000000022,0.0018351065367460256
train,2,-0.0078125,0.0005961327347904499
repair,2,0.025000000000000022,4.079733043910183e-05
test,2,-0.009999999999999898,6.949111819268272e-05
train,3,-0.012499999999999956,0.005586642678827053
repair,3,0.02499999999999991,0.0077994775027036695
test,3,0.02499999999999991,0.007707369029521932
train,4,-0.010937500000000044,0.0005214813398197321
repair,4,0.025000000000000022,0.00210770107805729
test,4,0.0,0.0016290488839149457
