division,fold,diff_acc,diff_fairness
train,0,-0.0015624999999999112,-0.004480212030466668
repair,0,0.012499999999999956,0.0009241599356755448
test,0,0.0050000000000000044,-0.0015756002999842145
train,1,-0.0078125,0.004754948616027835
repair,1,-0.006249999999999978,0.0052289877086877795
test,1,0.015000000000000013,0.00477701127529144
train,2,-0.05625000000000002,0.021935290400870142
repair,2,0.0,0.018900223821401593
test,2,0.0050000000000000044,0.024773092642426494
train,3,-0.04843749999999991,0.0005921180825680383
repair,3,0.02499999999999991,-0.00467490591108799
test,3,-0.0050000000000000044,0.0012349370121955972
train,4,-0.03125,0.026120459515368566
repair,4,-0.05625000000000002,0.023345672897994517
test,4,-0.014999999999999902,0.015669801011681556
