division,metrics,fold_0,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9
train,acc,0.9125390015600624,0.9168779251170047,0.9027933505581827,0.9124457660995466,0.9109345293228684,0.9083995515039244,0.9130795105542826,0.9091795446789841,0.9115682737776044,0.908107054063277
train,f1,0.8167517875383045,0.8322675848499754,0.776607663006946,0.8085287846481876,0.8008719346049046,0.8011429780929199,0.804388370817334,0.7917737789203084,0.8110022921441966,0.8069241011984021
train,pre,0.8226337448559671,0.8126801152737753,0.868671679197995,0.858112695179905,0.8685579196217494,0.8399911229471816,0.8820981713185756,0.892416225749559,0.8284376330353341,0.8156968316421619
train,rec,0.8109533468559837,0.8528225806451613,0.7021880064829822,0.7643620237855271,0.7429726996966632,0.765729314181671,0.7392619479733817,0.7115307352350342,0.7942857142857143,0.7983380624239967
train,mcc,0.7593517221599276,0.7774579867675943,0.721990715959101,0.75413604007355,0.7477222206301616,0.7431439543938273,0.7539000665623523,0.742346329507844,0.753600811950872,0.7467127031097366
repair,acc,0.8412280701754385,0.8241228070175438,0.8258007898200965,0.8415971917507679,0.8420359806932866,0.840280824923212,0.8437911364633611,0.846423870118473,0.8231680561649847,0.8367705133830627
repair,f1,0.6732851985559567,0.6479367866549605,0.5911431513903193,0.6386386386386386,0.6491228070175438,0.649325626204239,0.6291666666666667,0.6179039301310043,0.652885443583118,0.6536312849162011
repair,pre,0.6856617647058824,0.6099173553719008,0.6949152542372882,0.6845493562231759,0.6981132075471698,0.6919917864476386,0.7105882352941176,0.7075,0.6684303350970018,0.6828793774319066
repair,rec,0.6613475177304965,0.6910112359550562,0.514336917562724,0.5984990619136961,0.6065573770491803,0.6116152450090744,0.5644859813084112,0.5484496124031008,0.6380471380471381,0.6267857142857143
repair,mcc,0.568625219873558,0.5331648004446837,0.4924215496338366,0.5397789945286404,0.5500982854913626,0.5481709668228186,0.5375157916833427,0.530373302380161,0.5345976618085775,0.5479735306539718
test,acc,0.8387757191114751,0.8310983724024977,0.8406182823216296,0.8360118742962432,0.8400040945849114,0.8445081379875116,0.8369331559013206,0.8390828129798341,0.8396970007165524,0.8402088238304842
test,f1,0.6622346129101436,0.6600741656365883,0.6223623575066699,0.6416107382550335,0.6472579553148274,0.6622192572826329,0.6278906797477225,0.6258924321751547,0.6649550706033376,0.6617551462621886
test,pre,0.6666666666666666,0.6390107698444356,0.7224099099099099,0.6754592557701365,0.6880998080614203,0.6925581395348838,0.6949327817993796,0.7088948787061995,0.6678126342930812,0.6732804232804233
test,rec,0.657861099275671,0.6825734980826587,0.5466553046442266,0.6109927567106945,0.6109927567106945,0.6344269279931828,0.5726459309757137,0.5602897315722198,0.6621218576906689,0.6506178099701747
test,mcc,0.5563796182841896,0.5483966726807488,0.5319746883353057,0.5367713073952602,0.5458742735420197,0.5623904759235011,0.528750209737931,0.5310691975563474,0.5596112372260471,0.5573316063894979
