division,fold,diff_acc,diff_fairness
train,0,0.005555555555555647,0.002972093783318995
repair,0,0.033333333333333326,0.003244639933109278
test,0,0.010000000000000009,0.0018906366825103757
train,1,-0.018055555555555602,0.001984713392125241
repair,1,0.022222222222222254,0.00277482453319762
test,1,-0.020000000000000018,0.002586324810981755
train,2,0.004166666666666763,-0.0053895285766985684
repair,2,0.01666666666666672,-0.003647097448507941
test,2,0.0,-0.007486657351255414
train,3,0.0,0.0
repair,3,0.0,0.0
test,3,0.0,0.0
train,4,0.0,0.007440815969473786
repair,4,0.01666666666666672,0.007370255721939934
test,4,0.0,0.0061382241547107705
