division,fold,diff_acc,diff_fairness
train,0,-0.023611111111111138,0.011553911906149648
repair,0,0.0,0.012656254238552517
test,0,0.019999999999999907,0.012599933147430423
train,1,0.0,0.0
repair,1,0.0,0.0
test,1,0.0,0.0
train,2,-0.005555555555555647,0.007389523523549241
repair,2,-0.01666666666666672,0.008705509122875002
test,2,-0.009999999999999898,0.009081434011459354
train,3,-0.008333333333333415,0.003336387003461519
repair,3,0.033333333333333326,0.0035490565829806864
test,3,-0.020000000000000018,0.0022429728507995586
train,4,-0.033333333333333326,-0.0014233198430803097
repair,4,0.033333333333333326,-0.0008754559689097934
test,4,0.04999999999999993,-0.0012614291906356823
